tier_group,n,k,level,top1_acc,top1_ci_lo,top1_ci_hi,top5_acc,top5_ci_lo,top5_ci_hi,model
Tier 1 only,64,1,species,0.421875,0.3125,0.546875,0.421875,0.3125,0.546875,resnet50
Tier 1 only,64,1,genus,0.46875,0.358984375,0.59375,0.46875,0.358984375,0.59375,resnet50
Tier 1 only,64,1,family,0.5,0.375,0.625,0.5,0.375,0.625,resnet50
Tier 1 only,64,3,species,0.359375,0.25,0.46875,0.453125,0.34375,0.578125,resnet50
Tier 1 only,64,3,genus,0.421875,0.3125,0.546875,0.53125,0.40625,0.65625,resnet50
Tier 1 only,64,3,family,0.4375,0.3125,0.5625,0.5625,0.4375,0.6875,resnet50
Tier 1 only,64,5,species,0.359375,0.234375,0.46875,0.515625,0.40625,0.625,resnet50
Tier 1 only,64,5,genus,0.421875,0.3125,0.546875,0.59375,0.484375,0.703125,resnet50
Tier 1 only,64,5,family,0.453125,0.328125,0.5625,0.640625,0.53125,0.75,resnet50
Tier 1+2,118,1,species,0.4067796610169492,0.3220339119434356,0.5,0.4067796610169492,0.3220339119434356,0.5,resnet50
Tier 1+2,118,1,genus,0.4576271186440678,0.3728813529014587,0.5508474707603455,0.4576271186440678,0.3728813529014587,0.5508474707603455,resnet50
Tier 1+2,118,1,family,0.4661016949152542,0.3813559412956238,0.5593220591545105,0.4661016949152542,0.3813559412956238,0.5593220591545105,resnet50
Tier 1+2,118,3,species,0.4152542372881356,0.3305084705352783,0.5,0.5677966101694916,0.4745762646198272,0.6610169410705566,resnet50
Tier 1+2,118,3,genus,0.4576271186440678,0.3644067943096161,0.5508474707603455,0.6186440677966102,0.5338982939720154,0.7033898234367371,resnet50
Tier 1+2,118,3,family,0.4745762711864407,0.3813559412956238,0.5762711763381958,0.6440677966101694,0.5593220591545105,0.7203390002250671,resnet50
Tier 1+2,118,5,species,0.3559322033898305,0.2627118527889251,0.4491525292396545,0.6101694915254238,0.5169491767883301,0.7033898234367371,resnet50
Tier 1+2,118,5,genus,0.4745762711864407,0.3813559412956238,0.5677965879440308,0.6779661016949152,0.6014830768108368,0.7627118825912476,resnet50
Tier 1+2,118,5,family,0.4830508474576271,0.3898304998874664,0.5762711763381958,0.6949152542372882,0.6101694703102112,0.7711864113807678,resnet50
Tier 1+2+3,210,1,species,0.3428571428571428,0.2761904895305633,0.4095238149166107,0.3428571428571428,0.2761904895305633,0.4095238149166107,resnet50
Tier 1+2+3,210,1,genus,0.4047619047619047,0.3380952477455139,0.4714285731315613,0.4047619047619047,0.3380952477455139,0.4714285731315613,resnet50
Tier 1+2+3,210,1,family,0.4333333333333333,0.3666666746139526,0.5047619342803955,0.4333333333333333,0.3666666746139526,0.5047619342803955,resnet50
Tier 1+2+3,210,3,species,0.3571428571428571,0.2952381074428558,0.4238095283508301,0.5190476190476191,0.4523809552192688,0.585833328962326,resnet50
Tier 1+2+3,210,3,genus,0.4333333333333333,0.3666666746139526,0.5,0.6,0.5333333611488342,0.6666666865348816,resnet50
Tier 1+2+3,210,3,family,0.4714285714285714,0.4047619104385376,0.538095235824585,0.6333333333333333,0.5714285969734192,0.6952381134033203,resnet50
Tier 1+2+3,210,5,species,0.3523809523809524,0.2857142984867096,0.4238095283508301,0.5904761904761905,0.523809552192688,0.657261924445629,resnet50
Tier 1+2+3,210,5,genus,0.4476190476190476,0.380952388048172,0.5190476179122925,0.6761904761904762,0.6142857074737549,0.738095223903656,resnet50
Tier 1+2+3,210,5,family,0.4809523809523809,0.4095238149166107,0.5476190447807312,0.7142857142857143,0.6523809432983398,0.7715476319193839,resnet50
Tier 1 only,75,1,species,0.4666666666666667,0.3600000143051147,0.5736666560173032,0.4666666666666667,0.3600000143051147,0.5736666560173032,efficientnet_b0
Tier 1 only,75,1,genus,0.5066666666666667,0.4000000059604645,0.6266666650772095,0.5066666666666667,0.4000000059604645,0.6266666650772095,efficientnet_b0
Tier 1 only,75,1,family,0.56,0.4533333480358124,0.6800000071525574,0.56,0.4533333480358124,0.6800000071525574,efficientnet_b0
Tier 1 only,75,3,species,0.4133333333333333,0.3066666722297668,0.5333333611488342,0.5333333333333333,0.4266666769981384,0.6403333187103268,efficientnet_b0
Tier 1 only,75,3,genus,0.5066666666666667,0.3866666555404663,0.6266666650772095,0.64,0.5333333611488342,0.7599999904632568,efficientnet_b0
Tier 1 only,75,3,family,0.56,0.4533333480358124,0.6666666865348816,0.6933333333333334,0.5996666893363,0.800000011920929,efficientnet_b0
Tier 1 only,75,5,species,0.3733333333333333,0.2666666805744171,0.4933333396911621,0.5733333333333334,0.4666666686534881,0.6933333277702332,efficientnet_b0
Tier 1 only,75,5,genus,0.4266666666666667,0.3199999928474426,0.54666668176651,0.6933333333333334,0.5996666893363,0.800000011920929,efficientnet_b0
Tier 1 only,75,5,family,0.4666666666666667,0.3600000143051147,0.5866666436195374,0.7466666666666667,0.653333306312561,0.8399999737739563,efficientnet_b0
Tier 1+2,145,1,species,0.4137931034482758,0.3310344815254211,0.4896551668643951,0.4137931034482758,0.3310344815254211,0.4896551668643951,efficientnet_b0
Tier 1+2,145,1,genus,0.503448275862069,0.4275861978530884,0.5862069129943848,0.503448275862069,0.4275861978530884,0.5862069129943848,efficientnet_b0
Tier 1+2,145,1,family,0.5379310344827586,0.4620689749717712,0.6206896305084229,0.5379310344827586,0.4620689749717712,0.6206896305084229,efficientnet_b0
Tier 1+2,145,3,species,0.4275862068965517,0.3517241477966308,0.5103448033332825,0.5586206896551724,0.4827586114406585,0.634482741355896,efficientnet_b0
Tier 1+2,145,3,genus,0.4896551724137931,0.4137931168079376,0.565517246723175,0.6620689655172414,0.5862069129943848,0.7379310131072998,efficientnet_b0
Tier 1+2,145,3,family,0.5103448275862069,0.4412068948149681,0.5862069129943848,0.6827586206896552,0.613620662689209,0.751724123954773,efficientnet_b0
Tier 1+2,145,5,species,0.4,0.3241379261016845,0.475862056016922,0.5862068965517241,0.5103448033332825,0.6551724076271057,efficientnet_b0
Tier 1+2,145,5,genus,0.4551724137931034,0.3793103396892547,0.5310344696044922,0.6827586206896552,0.6137930750846863,0.751724123954773,efficientnet_b0
Tier 1+2,145,5,family,0.4758620689655172,0.406896561384201,0.5586206912994385,0.7310344827586207,0.6620689630508423,0.800000011920929,efficientnet_b0
Tier 1+2+3,259,1,species,0.3474903474903475,0.2934362888336181,0.4092664122581482,0.3474903474903475,0.2934362888336181,0.4092664122581482,efficientnet_b0
Tier 1+2+3,259,1,genus,0.4092664092664093,0.3513513505458832,0.4671814739704132,0.4092664092664093,0.3513513505458832,0.4671814739704132,efficientnet_b0
Tier 1+2+3,259,1,family,0.444015444015444,0.3861003816127777,0.5019304752349854,0.444015444015444,0.3861003816127777,0.5019304752349854,efficientnet_b0
Tier 1+2+3,259,3,species,0.3359073359073359,0.2779922783374786,0.3976834118366241,0.5057915057915058,0.4478764533996582,0.5675675868988037,efficientnet_b0
Tier 1+2+3,259,3,genus,0.4015444015444015,0.3397683501243591,0.4633204638957977,0.6023166023166023,0.5405405163764954,0.6602316498756409,efficientnet_b0
Tier 1+2+3,259,3,family,0.4555984555984556,0.3938224017620086,0.5173745155334473,0.6486486486486487,0.5907335877418518,0.7027027010917664,efficientnet_b0
Tier 1+2+3,259,5,species,0.3127413127413127,0.2586872577667236,0.3706563711166382,0.5521235521235521,0.4903475046157837,0.6177605986595154,efficientnet_b0
Tier 1+2+3,259,5,genus,0.3745173745173745,0.3127413094043731,0.4362934231758117,0.6525096525096525,0.5944980725646019,0.7104247212409973,efficientnet_b0
Tier 1+2+3,259,5,family,0.4054054054054054,0.3474903404712677,0.4671814739704132,0.7027027027027027,0.6447876691818237,0.7567567825317383,efficientnet_b0
Tier 1 only,68,1,species,0.4558823529411764,0.3378676421940327,0.5735294222831726,0.4558823529411764,0.3378676421940327,0.5735294222831726,densenet121
Tier 1 only,68,1,genus,0.4705882352941176,0.3529411852359772,0.5886029645800587,0.4705882352941176,0.3529411852359772,0.5886029645800587,densenet121
Tier 1 only,68,1,family,0.4852941176470588,0.3529411852359772,0.6176470518112183,0.4852941176470588,0.3529411852359772,0.6176470518112183,densenet121
Tier 1 only,68,3,species,0.4558823529411764,0.3382352888584137,0.5735294222831726,0.5,0.3823529481887817,0.6176470518112183,densenet121
Tier 1 only,68,3,genus,0.4558823529411764,0.3378676421940327,0.5735294222831726,0.6323529411764706,0.5,0.75,densenet121
Tier 1 only,68,3,family,0.4705882352941176,0.3382352888584137,0.5882353186607361,0.6911764705882353,0.5735294222831726,0.7941176295280457,densenet121
Tier 1 only,68,5,species,0.4117647058823529,0.294117659330368,0.529411792755127,0.5,0.3823529481887817,0.6176470518112183,densenet121
Tier 1 only,68,5,genus,0.4117647058823529,0.294117659330368,0.529411792755127,0.6617647058823529,0.5441176295280457,0.779411792755127,densenet121
Tier 1 only,68,5,family,0.4117647058823529,0.294117659330368,0.529411792755127,0.7352941176470589,0.6319853007793427,0.8382353186607361,densenet121
Tier 1+2,127,1,species,0.3779527559055118,0.2913385927677154,0.4724409580230713,0.3779527559055118,0.2913385927677154,0.4724409580230713,densenet121
Tier 1+2,127,1,genus,0.4409448818897638,0.3543307185173034,0.5354330539703369,0.4409448818897638,0.3543307185173034,0.5354330539703369,densenet121
Tier 1+2,127,1,family,0.4488188976377952,0.3622047305107116,0.5433070659637451,0.4488188976377952,0.3622047305107116,0.5433070659637451,densenet121
Tier 1+2,127,3,species,0.3779527559055118,0.2992126047611236,0.4645669162273407,0.5039370078740157,0.4094488322734833,0.5907480478286742,densenet121
Tier 1+2,127,3,genus,0.4251968503937008,0.3385826647281647,0.5118110179901123,0.6062992125984252,0.5196850299835205,0.7007874250411987,densenet121
Tier 1+2,127,3,family,0.4330708661417323,0.3464567065238952,0.5196850299835205,0.6456692913385826,0.5590550899505615,0.7401574850082397,densenet121
Tier 1+2,127,5,species,0.3622047244094488,0.2755905389785766,0.4566929042339325,0.5275590551181102,0.4330708682537079,0.6220472455024719,densenet121
Tier 1+2,127,5,genus,0.3858267716535433,0.2992126047611236,0.4726378083229063,0.6535433070866141,0.5669291615486145,0.7401574850082397,densenet121
Tier 1+2,127,5,family,0.3937007874015748,0.3070866167545318,0.4803149700164795,0.7086614173228346,0.6220472455024719,0.7952755689620972,densenet121
Tier 1+2+3,226,1,species,0.3893805309734513,0.3230088353157043,0.4513274431228637,0.3893805309734513,0.3230088353157043,0.4513274431228637,densenet121
Tier 1+2+3,226,1,genus,0.4380530973451327,0.3672566413879394,0.5,0.4380530973451327,0.3672566413879394,0.5,densenet121
Tier 1+2+3,226,1,family,0.4734513274336283,0.4070796370506286,0.5353982448577881,0.4734513274336283,0.4070796370506286,0.5353982448577881,densenet121
Tier 1+2+3,226,3,species,0.3805309734513274,0.3097345232963562,0.4424778819084167,0.504424778761062,0.4380531013011932,0.5707964897155762,densenet121
Tier 1+2+3,226,3,genus,0.4469026548672566,0.3761062026023865,0.5045353710651397,0.6194690265486725,0.5575221180915833,0.6814159154891968,densenet121
Tier 1+2+3,226,3,family,0.4646017699115044,0.3938052952289581,0.5265486836433411,0.6548672566371682,0.5929203629493713,0.7125000283122062,densenet121
Tier 1+2+3,226,5,species,0.3584070796460177,0.2920354008674621,0.4159291982650757,0.5486725663716814,0.4866150386631488,0.6106194853782654,densenet121
Tier 1+2+3,226,5,genus,0.4336283185840708,0.3672566413879394,0.4955752193927765,0.668141592920354,0.606084056198597,0.7256637215614319,densenet121
Tier 1+2+3,226,5,family,0.4646017699115044,0.3982300758361816,0.5265486836433411,0.7123893805309734,0.6548672318458557,0.769911527633667,densenet121
Tier 1 only,48,1,species,0.5416666666666666,0.3958333432674408,0.6875,0.5416666666666666,0.3958333432674408,0.6875,wide_resnet50_2
Tier 1 only,48,1,genus,0.5416666666666666,0.3958333432674408,0.6875,0.5416666666666666,0.3958333432674408,0.6875,wide_resnet50_2
Tier 1 only,48,1,family,0.6041666666666666,0.4578125096857548,0.7291666865348816,0.6041666666666666,0.4578125096857548,0.7291666865348816,wide_resnet50_2
Tier 1 only,48,3,species,0.5416666666666666,0.3958333432674408,0.6875,0.5833333333333334,0.4375,0.7291666865348816,wide_resnet50_2
Tier 1 only,48,3,genus,0.5416666666666666,0.3958333432674408,0.6875,0.5833333333333334,0.4375,0.7291666865348816,wide_resnet50_2
Tier 1 only,48,3,family,0.5833333333333334,0.4166666567325592,0.7083333134651184,0.6666666666666666,0.5203124806284904,0.7916666865348816,wide_resnet50_2
Tier 1 only,48,5,species,0.3958333333333333,0.25,0.5208333134651184,0.5833333333333334,0.4375,0.7291666865348816,wide_resnet50_2
Tier 1 only,48,5,genus,0.3958333333333333,0.25,0.5208333134651184,0.5833333333333334,0.4375,0.7291666865348816,wide_resnet50_2
Tier 1 only,48,5,family,0.3958333333333333,0.25,0.5416666865348816,0.7083333333333334,0.5625,0.8333333134651184,wide_resnet50_2
Tier 1+2,107,1,species,0.3925233644859813,0.2990654110908508,0.4859813153743744,0.3925233644859813,0.2990654110908508,0.4859813153743744,wide_resnet50_2
Tier 1+2,107,1,genus,0.4018691588785046,0.3084112107753753,0.4953271150588989,0.4018691588785046,0.3084112107753753,0.4953271150588989,wide_resnet50_2
Tier 1+2,107,1,family,0.4485981308411215,0.3551401793956756,0.5420560836791992,0.4485981308411215,0.3551401793956756,0.5420560836791992,wide_resnet50_2
Tier 1+2,107,3,species,0.3738317757009345,0.2803738415241241,0.4672897160053253,0.4579439252336448,0.3644859790802002,0.5514018535614014,wide_resnet50_2
Tier 1+2,107,3,genus,0.4018691588785046,0.3084112107753753,0.4859813153743744,0.5046728971962616,0.4112149477005005,0.5981308221817017,wide_resnet50_2
Tier 1+2,107,3,family,0.411214953271028,0.3084112107753753,0.5046728849411011,0.5794392523364486,0.4859813153743744,0.672897219657898,wide_resnet50_2
Tier 1+2,107,5,species,0.3738317757009345,0.2803738415241241,0.4672897160053253,0.5046728971962616,0.4112149477005005,0.5981308221817017,wide_resnet50_2
Tier 1+2,107,5,genus,0.411214953271028,0.3177570104598999,0.5046728849411011,0.5700934579439252,0.4766355156898498,0.663551390171051,wide_resnet50_2
Tier 1+2,107,5,family,0.4299065420560747,0.336448609828949,0.5233644843101501,0.6635514018691588,0.5792055785655975,0.7478972017765043,wide_resnet50_2
Tier 1+2+3,214,1,species,0.3598130841121495,0.2897196114063263,0.4299065470695495,0.3598130841121495,0.2897196114063263,0.4299065470695495,wide_resnet50_2
Tier 1+2+3,214,1,genus,0.4158878504672897,0.3457943797111511,0.4814252234995364,0.4158878504672897,0.3457943797111511,0.4814252234995364,wide_resnet50_2
Tier 1+2+3,214,1,family,0.4485981308411215,0.3785046637058258,0.5186915993690491,0.4485981308411215,0.3785046637058258,0.5186915993690491,wide_resnet50_2
Tier 1+2+3,214,3,species,0.3457943925233644,0.2803738415241241,0.4112149477005005,0.4813084112149532,0.4157710395753384,0.5467289686203003,wide_resnet50_2
Tier 1+2+3,214,3,genus,0.4252336448598131,0.3551401793956756,0.4906542003154754,0.5654205607476636,0.4998831778764724,0.6308411359786987,wide_resnet50_2
Tier 1+2+3,214,3,family,0.4485981308411215,0.3830607555806637,0.514018714427948,0.6121495327102804,0.5467289686203003,0.677570104598999,wide_resnet50_2
Tier 1+2+3,214,5,species,0.3364485981308411,0.2710280418395996,0.3971962630748749,0.5514018691588785,0.4859813153743744,0.6168224215507507,wide_resnet50_2
Tier 1+2+3,214,5,genus,0.4205607476635514,0.3550233572721481,0.4859813153743744,0.6495327102803738,0.5841121673583984,0.7102803587913513,wide_resnet50_2
Tier 1+2+3,214,5,family,0.4532710280373832,0.3878504633903503,0.5233644843101501,0.7102803738317757,0.6495327353477478,0.7663551568984985,wide_resnet50_2
